net,length_um
_03914_,117.68
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[2\],117.63
_09285_,117.38
_02990_,117.22
_08517_,117.22
pe_row\[0\].pe_col\[2\].pe_inst.b_out\[1\],117.04
_02342_,116.92
_01101_,116.82
_09436_,116.82
_02577_,116.76
pe_row\[3\].pe_col\[0\].pe_inst.a_in\[4\],116.65
_05406_,116.46
_05463_,116.41
_03902_,116.26
_08631_,116.19
_08515_,116.02
_10921_,115.98
_09371_,115.76
_01627_,115.69
_02352_,115.61
pe_row\[3\].pe_col\[1\].pe_inst.a_out\[6\],115.48
pe_row\[0\].pe_col\[1\].pe_inst.b_out\[4\],115.46
_07066_,115.415
net248,115.34
_13243_,115.24
_03470_,115.04
_10313_,114.84
pe_row\[3\].pe_col\[1\].pe_inst.a_out\[0\],114.78
_08586_,114.53
pe_row\[1\].pe_col\[0\].pe_inst.a_in\[5\],114.41
_03924_,113.6
_03817_,113.56
_01524_,113.32
_04661_,113.32
pe_row\[0\].pe_col\[0\].pe_inst.a_out\[6\],113.27
pe_row\[1\].pe_col\[0\].pe_inst.a_in\[4\],113
clknet_leaf_33_clk,112.92
_11080_,112.86
_07886_,112.76
pe_row\[2\].pe_col\[0\].pe_inst.b_out\[2\],112
_01090_,111.9
_07062_,111.51
_08173_,111.45
_06269_,111.44
_07859_,111.26
_08611_,110.94
pe_row\[2\].pe_col\[2\].pe_inst.b_out\[5\],110.74
_10207_,110.43
_01840_,110.12
_11739_,110.06
pe_row\[3\].pe_col\[0\].pe_inst.a_in\[2\],110
_08079_,109.98
_09657_,109.78
_00271_,109.725
_11799_,109.72
_06770_,109.66
_01602_,109.6
pe_row\[2\].pe_col\[2\].pe_inst.a_out\[1\],109.6
_07030_,109.51
_05300_,109.44
pe_row\[0\].pe_col\[3\].pe_inst.b_out\[5\],109.32
pe_row\[3\].pe_col\[2\].pe_inst.a_out\[2\],109.18
_01465_,109.145
_06225_,109.11
clknet_leaf_16_clk,109.08
_12438_,109.015
_03889_,108.74
_01673_,108.72
_03154_,108.6
_07916_,108.48
pe_row\[0\].pe_col\[0\].pe_inst.b_out\[7\],108.32
_12430_,108.09
